assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,DarktraceAIA,partner,Thoma Bravo,"APIKey(privateApiKey, publicApiKey) — REQUIRED(APIKey, APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""privateApiKey""},{""type"":""APIKey"",""name"":""publicApiKey""}],""config"":""REQUIRED(APIKey, APIKey)"",""params"":{""publicApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true},""privateApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DarktraceEmail,partner,Thoma Bravo,"APIKey(privateApiKey, publicApiKey) — REQUIRED(APIKey, APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""privateApiKey""},{""type"":""APIKey"",""name"":""publicApiKey""}],""config"":""REQUIRED(APIKey, APIKey)"",""params"":{""publicApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true},""privateApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DarktraceMBs,partner,Darktrace,"APIKey(privateApiKey, publicApiKey) — REQUIRED(APIKey, APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""privateApiKey""},{""type"":""APIKey"",""name"":""publicApiKey""}],""config"":""REQUIRED(APIKey, APIKey)"",""params"":{""publicApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true},""privateApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DataBee,partner,Comcast Corporation,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DatadogCloudSIEMV2,partner,Datadog,"Plain(api_key, app_key) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""api_key""},{""type"":""Plain"",""name"":""app_key""}],""config"":""REQUIRED(Plain, Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""app_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Dataminr Pulse,partner,Dataminr,"Plain(client_id, client_secret) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""client_id""},{""type"":""Plain"",""name"":""client_secret""}],""config"":""REQUIRED(Plain, Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""client_id"":{""type"":""Plain"",""xsoar_type"":4,""required"":true},""client_secret"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Dataminr Pulse ReGenAI,partner,Dataminr,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,DBot Truth Bombs,xsoar,Open Source,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,decyfir,partner,CYFIRMA,Plain(api_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""REQUIRED(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,DeCYFIR Feed,partner,CYFIRMA,Plain(api_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""REQUIRED(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
