assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,MaxMind GeoIP2,xsoar,MaxMind Inc,"APIKey(apikey) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,McAfee Active Response,xsoar,Trellix,"Plain(broker_ca_bundle, cert_file, private_key) — REQUIRED(Plain, Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""broker_ca_bundle""},{""type"":""Plain"",""name"":""cert_file""},{""type"":""Plain"",""name"":""private_key""}],""config"":""REQUIRED(Plain, Plain, Plain)"",""params"":{""broker_ca_bundle"":{""type"":""Plain"",""xsoar_type"":12,""required"":true},""cert_file"":{""type"":""Plain"",""xsoar_type"":12,""required"":true},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfee Advanced Threat Defense,xsoar,Trellix,"Plain(credentials, password, username) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""password""},{""type"":""Plain"",""name"":""username""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""username"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""password"":{""type"":""Plain"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,McAfee DXL,xsoar,Trellix,"Plain(broker_ca_bundle, cert_file, private_key) — REQUIRED(Plain, Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""broker_ca_bundle""},{""type"":""Plain"",""name"":""cert_file""},{""type"":""Plain"",""name"":""private_key""}],""config"":""REQUIRED(Plain, Plain, Plain)"",""params"":{""broker_ca_bundle"":{""type"":""Plain"",""xsoar_type"":12,""required"":true},""cert_file"":{""type"":""Plain"",""xsoar_type"":12,""required"":true},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfee ePO v2,xsoar,Trellix,Plain(authentication) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""authentication""}],""config"":""REQUIRED(Plain)"",""params"":{""authentication"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfee ESM v2,xsoar,Trellix,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfee NSM,xsoar,Trellix,Plain(credentials) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,McAfee Threat Intelligence Exchange V2,xsoar,Trellix,"Plain(broker_ca_bundle, cert_file, private_key) — REQUIRED(Plain, Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""broker_ca_bundle""},{""type"":""Plain"",""name"":""cert_file""},{""type"":""Plain"",""name"":""private_key""}],""config"":""REQUIRED(Plain, Plain, Plain)"",""params"":{""broker_ca_bundle"":{""type"":""Plain"",""xsoar_type"":12,""required"":true},""cert_file"":{""type"":""Plain"",""xsoar_type"":12,""required"":true},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfee Web Gateway,xsoar,Skyhigh Security,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfeeDAM,xsoar,STG,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,McAfeeNSMv2,xsoar,Trellix,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,MetaDefender Sandbox,partner,OPSWAT,Plain(api_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""REQUIRED(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Microsoft 365 Defender,xsoar,Microsoft,"OAuth2ClientCreds(_app_id, _tenant_id, app_id, certificate_thumbprint, enc_key, tenant_id) | Plain(credentials, creds_certificate, creds_client_id, creds_tenant_id, managed_identities_client_id, private_key) — CHOICE(OAuth2ClientCreds, Plain)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""_app_id""},{""type"":""OAuth2ClientCreds"",""name"":""_tenant_id""},{""type"":""OAuth2ClientCreds"",""name"":""app_id""},{""type"":""OAuth2ClientCreds"",""name"":""certificate_thumbprint""},{""type"":""OAuth2ClientCreds"",""name"":""enc_key""},{""type"":""OAuth2ClientCreds"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""creds_certificate""},{""type"":""Plain"",""name"":""creds_client_id""},{""type"":""Plain"",""name"":""creds_tenant_id""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""creds_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_tenant_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""_app_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":false},""_tenant_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_certificate"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""app_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""tenant_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""enc_key"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows; Uses OAuth Device Code flow which is not supported""}",,,,,,,,,,,,
,Microsoft 365 Defender Event Collector,xsoar,Microsoft,"OAuth2ClientCreds(client_id, tenant_id) | Plain(credentials) — REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds) + REQUIRED(Plain)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""client_id""},{""type"":""OAuth2ClientCreds"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds) + REQUIRED(Plain)"",""params"":{""tenant_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true},""client_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Microsoft Advanced Threat Analytics,xsoar,Microsoft,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Microsoft Defender Advanced Threat Protection,xsoar,Microsoft,"OAuth2AuthCode(_auth_id, _tenant_id, auth_id, certificate_thumbprint, enc_key, redirect_uri, tenant_id) | Plain(_auth_id_encrypted, _tenant_id_encrypted, auth_code, credentials, creds_certificate, managed_identities_client_id, private_key) — CHOICE(OAuth2AuthCode, Plain)","{""auth_types"":[{""type"":""OAuth2AuthCode"",""name"":""_auth_id""},{""type"":""OAuth2AuthCode"",""name"":""_tenant_id""},{""type"":""OAuth2AuthCode"",""name"":""auth_id""},{""type"":""OAuth2AuthCode"",""name"":""certificate_thumbprint""},{""type"":""OAuth2AuthCode"",""name"":""enc_key""},{""type"":""OAuth2AuthCode"",""name"":""redirect_uri""},{""type"":""OAuth2AuthCode"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""_auth_id_encrypted""},{""type"":""Plain"",""name"":""_tenant_id_encrypted""},{""type"":""Plain"",""name"":""auth_code""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""creds_certificate""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2AuthCode, OAuth2ClientCreds, Plain)"",""params"":{""_auth_id_encrypted"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""_tenant_id_encrypted"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""_auth_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""_tenant_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_certificate"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""redirect_uri"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""auth_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""tenant_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""enc_key"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows; Has auth_type selector with multiple OAuth options""}",,,,,,,,,,,,
,Microsoft Defender for Cloud Apps Event Collector,xsoar,Microsoft,"OAuth2ClientCreds(client_id, scope, tenant_id) | Plain(credentials) — REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds, OAuth2ClientCreds) + REQUIRED(Plain)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""client_id""},{""type"":""OAuth2ClientCreds"",""name"":""scope""},{""type"":""OAuth2ClientCreds"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds, OAuth2ClientCreds) + REQUIRED(Plain)"",""params"":{""client_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""tenant_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true},""scope"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Microsoft Defender for Cloud Event Collector,xsoar,Microsoft,"Plain(certificate_thumbprint, client_id, enc_key, private_key, sub_id, tenant_id) — REQUIRED(Plain, Plain, Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""certificate_thumbprint""},{""type"":""Plain"",""name"":""client_id""},{""type"":""Plain"",""name"":""enc_key""},{""type"":""Plain"",""name"":""private_key""},{""type"":""Plain"",""name"":""sub_id""},{""type"":""Plain"",""name"":""tenant_id""}],""config"":""REQUIRED(Plain, Plain, Plain, Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""tenant_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""enc_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""certificate_thumbprint"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""sub_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Microsoft Endpoint Configuration Manager,xsoar,Microsoft,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Microsoft Graph,xsoar,Microsoft,"OAuth2AuthCode(auth_id, certificate_thumbprint, enc_key, redirect_uri, tenant_id) | Plain(auth_code, creds_auth_id, creds_certificate, creds_enc_key, creds_tenant_id, managed_identities_client_id, private_key) — CHOICE(OAuth2AuthCode, Plain)","{""auth_types"":[{""type"":""OAuth2AuthCode"",""name"":""auth_id""},{""type"":""OAuth2AuthCode"",""name"":""certificate_thumbprint""},{""type"":""OAuth2AuthCode"",""name"":""enc_key""},{""type"":""OAuth2AuthCode"",""name"":""redirect_uri""},{""type"":""OAuth2AuthCode"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""auth_code""},{""type"":""Plain"",""name"":""creds_auth_id""},{""type"":""Plain"",""name"":""creds_certificate""},{""type"":""Plain"",""name"":""creds_enc_key""},{""type"":""Plain"",""name"":""creds_tenant_id""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2AuthCode, OAuth2ClientCreds, Plain)"",""params"":{""creds_auth_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_tenant_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_enc_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""auth_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""tenant_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""enc_key"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""creds_certificate"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""redirect_uri"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows; Microsoft Graph/Azure integration with managed identity + OAuth""}",,,,,,,,,,,,
,Microsoft Graph API,xsoar,Microsoft,"OAuth2AuthCode(app_id, app_secret, certificate_thumbprint, redirect_uri, tenant_id) | Plain(auth_code, credentials, creds_certificate, managed_identities_client_id, private_key) — CHOICE(OAuth2AuthCode, Plain)","{""auth_types"":[{""type"":""OAuth2AuthCode"",""name"":""app_id""},{""type"":""OAuth2AuthCode"",""name"":""app_secret""},{""type"":""OAuth2AuthCode"",""name"":""certificate_thumbprint""},{""type"":""OAuth2AuthCode"",""name"":""redirect_uri""},{""type"":""OAuth2AuthCode"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""auth_code""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""creds_certificate""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2AuthCode, OAuth2ClientCreds, Plain)"",""params"":{""app_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""tenant_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""redirect_uri"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_certificate"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""app_secret"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows; Microsoft Graph/Azure integration with managed identity + OAuth; Uses OAuth Device Code flow which is not supported""}",,,,,,,,,,,,
,Microsoft Graph Calendar,xsoar,Microsoft,"OAuth2ClientCreds(auth_id, certificate_thumbprint, enc_key, tenant_id) | Plain(credentials_auth_id, credentials_certificate_thumbprint, credentials_enc_key, credentials_tenant_id, default_user, managed_identities_client_id, private_key) — CHOICE(OAuth2ClientCreds, Plain)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""auth_id""},{""type"":""OAuth2ClientCreds"",""name"":""certificate_thumbprint""},{""type"":""OAuth2ClientCreds"",""name"":""enc_key""},{""type"":""OAuth2ClientCreds"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""credentials_auth_id""},{""type"":""Plain"",""name"":""credentials_certificate_thumbprint""},{""type"":""Plain"",""name"":""credentials_enc_key""},{""type"":""Plain"",""name"":""credentials_tenant_id""},{""type"":""Plain"",""name"":""default_user""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""auth_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_auth_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""tenant_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_tenant_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""enc_key"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_enc_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_certificate_thumbprint"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""default_user"":{""type"":""Plain"",""xsoar_type"":0,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows""}",,,,,,,,,,,,
,Microsoft Graph Device Management,xsoar,Microsoft,"OAuth2ClientCreds(auth_id, certificate_thumbprint, enc_key, tenant_id) | Plain(credentials_auth_id, credentials_certificate_thumbprint, credentials_enc_key, credentials_tenant_id, managed_identities_client_id, private_key) — CHOICE(OAuth2ClientCreds, Plain)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""auth_id""},{""type"":""OAuth2ClientCreds"",""name"":""certificate_thumbprint""},{""type"":""OAuth2ClientCreds"",""name"":""enc_key""},{""type"":""OAuth2ClientCreds"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""credentials_auth_id""},{""type"":""Plain"",""name"":""credentials_certificate_thumbprint""},{""type"":""Plain"",""name"":""credentials_enc_key""},{""type"":""Plain"",""name"":""credentials_tenant_id""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""auth_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_auth_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""tenant_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_tenant_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""enc_key"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_enc_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""credentials_certificate_thumbprint"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows""}",,,,,,,,,,,,
,Microsoft Graph Groups,xsoar,Microsoft,"OAuth2AuthCode(_auth_id, _tenant_id, auth_code, auth_id, certificate_thumbprint, enc_key, redirect_uri, tenant_id) | Plain(credentials, credentials_certificate_thumbprint, creds_auth_code, creds_auth_id, creds_tenant_id, managed_identities_client_id, private_key) — CHOICE(OAuth2AuthCode, Plain)","{""auth_types"":[{""type"":""OAuth2AuthCode"",""name"":""_auth_id""},{""type"":""OAuth2AuthCode"",""name"":""_tenant_id""},{""type"":""OAuth2AuthCode"",""name"":""auth_code""},{""type"":""OAuth2AuthCode"",""name"":""auth_id""},{""type"":""OAuth2AuthCode"",""name"":""certificate_thumbprint""},{""type"":""OAuth2AuthCode"",""name"":""enc_key""},{""type"":""OAuth2AuthCode"",""name"":""redirect_uri""},{""type"":""OAuth2AuthCode"",""name"":""tenant_id""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""credentials_certificate_thumbprint""},{""type"":""Plain"",""name"":""creds_auth_code""},{""type"":""Plain"",""name"":""creds_auth_id""},{""type"":""Plain"",""name"":""creds_tenant_id""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2AuthCode, OAuth2ClientCreds, Plain)"",""params"":{""creds_auth_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_tenant_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""_auth_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""_tenant_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""credentials_certificate_thumbprint"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""enc_key"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""auth_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""tenant_id"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false},""redirect_uri"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":0,""required"":false},""creds_auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""auth_code"":{""type"":[""OAuth2AuthCode"",""OAuth2ClientCreds""],""xsoar_type"":4,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows""}",,,,,,,,,,,,
,Microsoft Graph Mail Single User,xsoar,Microsoft,"OAuth2AuthCode(auth_code, auth_id, certificate_thumbprint, enc_key, redirect_uri, refresh_token) | Plain(creds_auth_code, creds_auth_id, creds_certificate, creds_enc_key, creds_refresh_token, managed_identities_client_id, private_key) — CHOICE(OAuth2AuthCode, Plain)","{""auth_types"":[{""type"":""OAuth2AuthCode"",""name"":""auth_code""},{""type"":""OAuth2AuthCode"",""name"":""auth_id""},{""type"":""OAuth2AuthCode"",""name"":""certificate_thumbprint""},{""type"":""OAuth2AuthCode"",""name"":""enc_key""},{""type"":""OAuth2AuthCode"",""name"":""redirect_uri""},{""type"":""OAuth2AuthCode"",""name"":""refresh_token""},{""type"":""Plain"",""name"":""creds_auth_code""},{""type"":""Plain"",""name"":""creds_auth_id""},{""type"":""Plain"",""name"":""creds_certificate""},{""type"":""Plain"",""name"":""creds_enc_key""},{""type"":""Plain"",""name"":""creds_refresh_token""},{""type"":""Plain"",""name"":""managed_identities_client_id""},{""type"":""Plain"",""name"":""private_key""}],""config"":""CHOICE(OAuth2AuthCode, Plain)"",""params"":{""creds_auth_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_refresh_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""creds_enc_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""auth_id"":{""type"":""OAuth2AuthCode"",""xsoar_type"":4,""required"":false},""refresh_token"":{""type"":""OAuth2AuthCode"",""xsoar_type"":4,""required"":false},""enc_key"":{""type"":""OAuth2AuthCode"",""xsoar_type"":4,""required"":false},""creds_certificate"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""certificate_thumbprint"":{""type"":""OAuth2AuthCode"",""xsoar_type"":4,""required"":false},""private_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""creds_auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""auth_code"":{""type"":""OAuth2AuthCode"",""xsoar_type"":4,""required"":false},""redirect_uri"":{""type"":""OAuth2AuthCode"",""xsoar_type"":0,""required"":false},""managed_identities_client_id"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""Uses managed identity combined with OAuth flows; Microsoft Graph/Azure integration with managed identity + OAuth""}",,,,,,,,,,,,
